epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.964,1.94815,2.72871,1.69294,0.61736,0.72,0.67683,0.43691,1.17679,1.59336,1.15748,0.00024,0.00024,0.00024
2,22.3807,1.20909,1.36602,1.14807,0.18919,0.315,0.14596,0.0749,1.33332,16.4634,1.76986,0.00049505,0.00049505,0.00049505
3,36.0297,1.21341,1.18648,1.17408,0.06866,0.59,0.05602,0.02638,1.67561,37.392,2.64892,0.000744952,0.000744952,0.000744952
4,56.9406,1.32637,1.27911,1.21661,0.00792,0.105,0.00316,0.00095,4.0483,207.418,13.5807,0.000989706,0.000989706,0.000989706
5,78.1406,1.27816,1.20438,1.21612,0.00052,0.025,0.00021,6e-05,4.32493,inf,42.3539,0.00122931,0.00122931,0.00122931
6,98.9205,1.3545,1.32213,1.23042,0.01054,0.1,0.00435,0.00129,3.40658,inf,68.7387,0.00146377,0.00146377,0.00146377
7,110.159,1.34381,1.26507,1.21455,0.00203,0.11,0.00106,0.00055,nan,nan,nan,0.00169308,0.00169308,0.00169308
8,134.16,1.31313,1.14733,1.20842,0.00651,0.18,0.00444,0.00144,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,145.358,1.32738,1.14106,1.20874,0.0113,0.19,0.00691,0.00254,3.45073,90.6755,7.6271,0.0018416,0.0018416,0.0018416
10,167.524,1.2634,1.09964,1.18006,0.25433,0.295,0.13154,0.06226,2.46915,3.9096,3.11847,0.0018218,0.0018218,0.0018218
11,189.053,1.23871,1.10047,1.17317,0.64506,0.35,0.33779,0.18798,nan,nan,nan,0.001802,0.001802,0.001802
12,216.368,1.24454,1.0355,1.17507,0.5678,0.54521,0.50491,0.27802,1.57938,2.64979,1.59716,0.0017822,0.0017822,0.0017822
13,236.791,1.14708,1.02442,1.12699,0.5315,0.63,0.54452,0.34177,1.39472,3.80474,1.42899,0.0017624,0.0017624,0.0017624
14,259.099,1.1781,0.9795,1.12537,0.50267,0.645,0.47994,0.27517,1.41681,3.16154,1.51817,0.0017426,0.0017426,0.0017426
15,281.624,1.15765,0.98118,1.15152,0.57869,0.64,0.58085,0.3165,1.55342,2.5198,1.56515,0.0017228,0.0017228,0.0017228
16,302.848,1.23279,0.99917,1.15221,0.79957,0.76,0.81151,0.51537,1.19289,1.94575,1.29429,0.001703,0.001703,0.001703
17,324.057,1.15738,0.97223,1.12477,0.69559,0.78835,0.72118,0.46371,1.25567,1.7943,1.32783,0.0016832,0.0016832,0.0016832
18,345.982,1.14288,0.93749,1.108,0.60623,0.77,0.64088,0.40351,1.26341,1.90234,1.24155,0.0016634,0.0016634,0.0016634
19,360.264,1.12169,0.9152,1.10402,0.64281,0.81883,0.67369,0.44947,1.1218,1.59567,1.18072,0.0016436,0.0016436,0.0016436
20,376.411,1.12876,0.92517,1.09965,0.80952,0.79,0.80706,0.54337,1.09162,1.1689,1.13453,0.0016238,0.0016238,0.0016238
21,398.235,1.05032,0.86945,1.06836,0.70105,0.82,0.70235,0.48168,1.09272,1.24842,1.10909,0.001604,0.001604,0.001604
22,422.24,1.0855,0.87199,1.09011,0.78424,0.79,0.82113,0.57565,1.07161,1.09659,1.12953,0.0015842,0.0015842,0.0015842
23,446.286,1.14788,0.9452,1.11326,0.71124,0.805,0.76869,0.51049,1.18126,1.11229,1.18149,0.0015644,0.0015644,0.0015644
24,463.935,1.06604,0.85587,1.07126,0.74556,0.79,0.80238,0.53621,1.16532,1.3207,1.15231,0.0015446,0.0015446,0.0015446
25,477.464,1.05491,0.89975,1.0925,0.67561,0.74976,0.67712,0.43427,1.24243,1.40512,1.26005,0.0015248,0.0015248,0.0015248
26,501.178,1.0552,0.8747,1.08499,0.80907,0.77,0.84242,0.58766,1.07012,1.21749,1.11782,0.001505,0.001505,0.001505
27,525.824,1.00702,0.82282,1.05009,0.82407,0.7729,0.84163,0.56335,1.08896,1.26734,1.11234,0.0014852,0.0014852,0.0014852
28,541.538,1.06862,0.82746,1.08032,0.8359,0.86599,0.86792,0.6191,0.99368,1.02803,1.06954,0.0014654,0.0014654,0.0014654
29,563.992,1.0602,0.80663,1.07891,0.84282,0.83,0.87366,0.61323,1.0251,1.07246,1.04865,0.0014456,0.0014456,0.0014456
30,588.408,1.04866,0.81,1.06964,0.83936,0.855,0.87832,0.60604,1.04228,0.88281,1.06594,0.0014258,0.0014258,0.0014258
31,607.054,1.00502,0.78968,1.0721,0.81224,0.87,0.86766,0.6311,0.97981,0.97275,1.05123,0.001406,0.001406,0.001406
