epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,196.154,0.88684,0.7334,0.95591,0.84689,0.85,0.88552,0.62813,0.93586,0.79736,0.96753,0.0011684,0.0011684,0.0011684
44,200.627,0.93087,0.73019,1.00397,0.88226,0.87,0.8837,0.62421,1.00845,0.80639,1.00354,0.0011486,0.0011486,0.0011486
45,205.13,0.86372,0.69779,0.96697,0.85493,0.875,0.873,0.63666,0.94481,0.82525,1.00375,0.0011288,0.0011288,0.0011288
46,209.51,0.86851,0.69021,0.95098,0.86474,0.86308,0.88757,0.63973,0.95215,0.80842,0.99198,0.001109,0.001109,0.001109
47,213.966,0.87257,0.70538,0.97008,0.86612,0.84099,0.88264,0.61806,0.97264,0.86687,1.0067,0.0010892,0.0010892,0.0010892
48,218.464,0.87851,0.69659,0.97174,0.87245,0.865,0.89494,0.64463,0.94119,0.76817,1.01117,0.0010694,0.0010694,0.0010694
49,222.942,0.89819,0.70194,0.98207,0.84655,0.85508,0.85611,0.63337,0.93422,0.77574,0.98748,0.0010496,0.0010496,0.0010496
50,227.273,0.85431,0.67548,0.96847,0.83971,0.865,0.84954,0.62895,0.92279,0.76303,0.97805,0.0010298,0.0010298,0.0010298
51,231.806,0.83972,0.66746,0.95523,0.87984,0.86,0.87334,0.64288,0.88254,0.74076,0.95377,0.00101,0.00101,0.00101
52,236.317,0.83499,0.67096,0.96281,0.90102,0.805,0.88798,0.64561,0.92191,0.79809,0.96737,0.0009902,0.0009902,0.0009902
53,240.841,0.79886,0.6568,0.94623,0.83224,0.845,0.88355,0.64413,0.90487,0.78302,0.96133,0.0009704,0.0009704,0.0009704
54,245.458,0.8328,0.65653,0.95822,0.89612,0.81956,0.88097,0.63901,0.92257,0.779,0.97427,0.0009506,0.0009506,0.0009506
55,249.983,0.85815,0.68381,0.9702,0.84795,0.885,0.88261,0.64046,0.88655,0.75162,0.97575,0.0009308,0.0009308,0.0009308
56,254.577,0.81604,0.65228,0.95415,0.83125,0.88666,0.88512,0.64801,0.86846,0.75557,0.96085,0.000911,0.000911,0.000911
57,259.024,0.8187,0.66069,0.94624,0.86235,0.88,0.88508,0.67905,0.87332,0.74982,0.95387,0.0008912,0.0008912,0.0008912
58,263.487,0.82234,0.66207,0.95664,0.86464,0.875,0.87393,0.6498,0.89259,0.75856,0.96471,0.0008714,0.0008714,0.0008714
59,267.926,0.83375,0.63518,0.95153,0.8903,0.88,0.89865,0.67896,0.83067,0.67547,0.93674,0.0008516,0.0008516,0.0008516
60,272.368,0.80845,0.63851,0.95451,0.89798,0.83619,0.88217,0.63997,0.92958,0.76376,0.98092,0.0008318,0.0008318,0.0008318
61,276.896,0.77908,0.60816,0.93707,0.85529,0.85699,0.86736,0.63129,0.90867,0.81129,0.97489,0.000812,0.000812,0.000812
62,281.532,0.83007,0.6163,0.9495,0.86721,0.81637,0.86666,0.61879,0.95497,0.86606,0.99789,0.0007922,0.0007922,0.0007922
63,286.139,0.82607,0.62137,0.93795,0.84498,0.84,0.86508,0.64555,0.88334,0.83053,0.97024,0.0007724,0.0007724,0.0007724
64,290.636,0.83889,0.63546,0.97299,0.85288,0.835,0.85312,0.63603,0.90964,0.88666,0.96984,0.0007526,0.0007526,0.0007526
65,295.293,0.7977,0.62576,0.95075,0.84576,0.84995,0.86092,0.64096,0.9195,0.86067,0.96222,0.0007328,0.0007328,0.0007328
66,299.816,0.79183,0.61565,0.93323,0.88545,0.855,0.88245,0.64131,0.92578,0.79946,0.98629,0.000713,0.000713,0.000713
67,304.323,0.78946,0.58934,0.9452,0.89875,0.84332,0.88323,0.65251,0.91017,0.77531,0.98641,0.0006932,0.0006932,0.0006932
68,308.783,0.79347,0.60666,0.92551,0.88521,0.86,0.88902,0.64739,0.93508,0.75396,0.98236,0.0006734,0.0006734,0.0006734
69,313.238,0.74827,0.57264,0.92327,0.88295,0.885,0.88698,0.65355,0.90842,0.76838,0.98287,0.0006536,0.0006536,0.0006536
70,317.632,0.78054,0.58972,0.932,0.8795,0.87583,0.88869,0.67104,0.86676,0.73657,0.96939,0.0006338,0.0006338,0.0006338
71,321.996,0.7868,0.58877,0.92946,0.86162,0.875,0.89018,0.64855,0.91183,0.73872,0.9808,0.000614,0.000614,0.000614
72,326.408,0.77465,0.5925,0.94203,0.86297,0.885,0.89045,0.65674,0.87876,0.71492,0.9613,0.0005942,0.0005942,0.0005942
73,330.751,0.78078,0.61234,0.93811,0.89732,0.84,0.88452,0.65168,0.8937,0.73153,0.9556,0.0005744,0.0005744,0.0005744
74,335.17,0.74607,0.57271,0.91942,0.89353,0.865,0.88982,0.66687,0.87435,0.7241,0.96482,0.0005546,0.0005546,0.0005546
75,339.549,0.7518,0.56587,0.92242,0.9104,0.86363,0.89174,0.6768,0.85348,0.70481,0.95481,0.0005348,0.0005348,0.0005348
76,343.994,0.78486,0.56048,0.93112,0.89345,0.81,0.86216,0.64448,0.8682,0.84025,0.95242,0.000515,0.000515,0.000515
77,348.386,0.7333,0.54381,0.92637,0.86789,0.82119,0.85199,0.65174,0.83434,0.79962,0.93821,0.0004952,0.0004952,0.0004952
78,352.819,0.76966,0.56322,0.93446,0.85446,0.845,0.87693,0.67327,0.82126,0.74527,0.94302,0.0004754,0.0004754,0.0004754
79,357.198,0.74097,0.55015,0.92081,0.85709,0.83964,0.87307,0.6654,0.86998,0.77186,0.9604,0.0004556,0.0004556,0.0004556
