epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.28448,1.8995,3.12499,1.58826,0.01341,0.865,0.31719,0.16034,1.11666,2.90208,1.08958,0.00024,0.00024,0.00024
2,6.34624,1.20303,1.70985,1.11888,0.49275,0.505,0.40227,0.26458,0.99897,2.60807,0.98556,0.00049505,0.00049505,0.00049505
3,8.44423,1.14897,1.45356,1.07737,0.52473,0.21,0.28698,0.16195,1.26132,2.60239,1.13036,0.000744952,0.000744952,0.000744952
4,10.5356,1.1782,1.38579,1.07245,0.39835,0.355,0.35594,0.21061,1.24354,2.25018,1.11536,0.000989706,0.000989706,0.000989706
5,12.4922,1.11679,1.271,1.08206,0.5316,0.515,0.45107,0.26552,1.35704,2.08132,1.17632,0.00122931,0.00122931,0.00122931
6,14.5264,1.15362,1.23185,1.09163,0.5804,0.6501,0.59854,0.36722,1.22999,1.8774,1.18466,0.00146377,0.00146377,0.00146377
7,16.5023,1.12379,1.25871,1.07818,0.42985,0.42598,0.38213,0.22767,1.32481,2.23935,1.25596,0.00169308,0.00169308,0.00169308
8,18.5607,1.18342,1.17574,1.10043,0.46212,0.41,0.33273,0.1791,1.46727,2.46154,1.33767,0.0018614,0.0018614,0.0018614
9,20.5536,1.12673,1.10679,1.05975,0.66789,0.6536,0.64479,0.38406,1.31751,1.59786,1.24236,0.0018416,0.0018416,0.0018416
10,22.5639,1.14927,1.12176,1.0599,0.78935,0.67,0.76762,0.45322,1.30018,1.35644,1.18896,0.0018218,0.0018218,0.0018218
11,24.5324,1.10004,1.07161,1.0732,0.75459,0.815,0.78789,0.53347,1.17041,1.17115,1.11745,0.001802,0.001802,0.001802
12,26.6128,1.07911,1.07877,1.05293,0.75021,0.76588,0.76744,0.50353,1.22497,1.32116,1.24569,0.0017822,0.0017822,0.0017822
13,28.6332,1.06437,1.03064,1.05211,0.68712,0.695,0.71048,0.46578,1.178,1.2855,1.16714,0.0017624,0.0017624,0.0017624
14,30.6502,1.08893,0.98722,1.05183,0.72229,0.825,0.78195,0.48205,1.15504,1.26494,1.16748,0.0017426,0.0017426,0.0017426
15,32.6393,1.09231,1.02212,1.07265,0.83556,0.815,0.85579,0.52766,1.25245,1.19626,1.15344,0.0017228,0.0017228,0.0017228
16,34.7431,1.03403,0.97509,1.05814,0.79606,0.68311,0.80253,0.51501,1.21515,1.11539,1.12468,0.001703,0.001703,0.001703
17,36.7607,1.07913,0.93542,1.06464,0.79268,0.72645,0.79585,0.48993,1.19903,1.17595,1.11954,0.0016832,0.0016832,0.0016832
18,39.0654,1.05828,0.93601,1.04601,0.80599,0.84,0.84896,0.57591,1.02501,0.96835,1.05722,0.0016634,0.0016634,0.0016634
19,41.8348,1.00193,0.93363,1.03346,0.73941,0.82,0.80484,0.56044,1.05386,1.01326,1.05763,0.0016436,0.0016436,0.0016436
20,44.8391,1.02103,0.92479,1.02531,0.76916,0.775,0.7905,0.55694,1.05514,1.08252,1.07107,0.0016238,0.0016238,0.0016238
21,47.6148,0.99362,0.88523,1.014,0.80662,0.77168,0.81804,0.56389,1.03887,1.09944,1.0514,0.001604,0.001604,0.001604
22,50.2153,0.99367,0.86869,1.01763,0.82435,0.82133,0.85435,0.61254,1.00913,0.96538,1.05064,0.0015842,0.0015842,0.0015842
23,52.8707,0.98316,0.83734,1.01061,0.8047,0.76225,0.80894,0.55137,1.14841,1.02477,1.08932,0.0015644,0.0015644,0.0015644
24,55.0335,0.96211,0.84639,1.00863,0.84951,0.755,0.82898,0.55308,1.05025,1.01191,1.06594,0.0015446,0.0015446,0.0015446
25,57.1259,0.96983,0.8416,0.99698,0.84162,0.87,0.86349,0.5938,1.01696,0.99031,1.06116,0.0015248,0.0015248,0.0015248
26,59.1756,0.95219,0.81149,1.0162,0.83623,0.81,0.84108,0.57254,0.99912,0.90398,1.0366,0.001505,0.001505,0.001505
27,61.4566,0.93389,0.79957,1.01866,0.85277,0.82,0.84171,0.58673,0.93594,0.88814,0.99029,0.0014852,0.0014852,0.0014852
28,64.0852,0.91084,0.78264,0.99429,0.89253,0.82,0.84287,0.52345,1.14978,0.96714,1.04891,0.0014654,0.0014654,0.0014654
29,66.804,0.97712,0.78949,1.01827,0.83615,0.835,0.84503,0.58268,0.99447,0.98212,1.02635,0.0014456,0.0014456,0.0014456
30,69.4203,0.92556,0.77029,0.9899,0.84399,0.865,0.85278,0.58199,1.0753,1.15078,1.03086,0.0014258,0.0014258,0.0014258
31,72.1162,0.97996,0.79191,0.99187,0.88259,0.86444,0.88046,0.60467,1.03347,0.89469,1.00232,0.001406,0.001406,0.001406
32,74.7972,0.93045,0.75829,1.00129,0.86142,0.87023,0.89015,0.63528,0.94092,0.82657,0.9848,0.0013862,0.0013862,0.0013862
33,77.3737,0.97405,0.77653,1.0013,0.82884,0.885,0.87675,0.60644,1.01654,0.85081,1.00896,0.0013664,0.0013664,0.0013664
34,79.9299,0.94576,0.77084,0.99655,0.82263,0.85801,0.86026,0.61638,0.95603,0.87256,1.0129,0.0013466,0.0013466,0.0013466
35,82.4962,0.91871,0.73237,0.98083,0.87108,0.83,0.87788,0.63534,0.91968,0.78283,0.9763,0.0013268,0.0013268,0.0013268
36,85.1904,0.8946,0.71573,0.97702,0.8859,0.81521,0.86929,0.61519,0.97296,0.7973,0.99128,0.001307,0.001307,0.001307
37,87.7372,0.89332,0.69208,0.97966,0.84184,0.885,0.86245,0.61804,0.94742,0.82352,1.0035,0.0012872,0.0012872,0.0012872
38,90.3238,0.90867,0.73542,0.98646,0.85827,0.90833,0.88666,0.62453,0.97449,0.72745,1.01044,0.0012674,0.0012674,0.0012674
39,92.7419,0.85798,0.66977,0.97544,0.88253,0.90153,0.89677,0.63018,0.96678,0.77098,0.99797,0.0012476,0.0012476,0.0012476
40,95.3032,0.86827,0.68621,0.96886,0.86603,0.875,0.8764,0.64779,0.90846,0.74054,0.97946,0.0012278,0.0012278,0.0012278
41,97.9024,0.87372,0.68977,0.98981,0.85231,0.86566,0.84006,0.59486,0.94717,0.75259,0.99591,0.001208,0.001208,0.001208
42,100.333,0.87215,0.67518,0.98007,0.871,0.87777,0.87837,0.64796,0.93993,0.73165,1.01098,0.0011882,0.0011882,0.0011882
43,102.873,0.85583,0.66752,0.95734,0.84921,0.87293,0.88753,0.64201,0.93648,0.76518,0.98852,0.0011684,0.0011684,0.0011684
44,105.548,0.83997,0.63494,0.95395,0.81808,0.88,0.87874,0.62919,0.98325,0.79369,1.00505,0.0011486,0.0011486,0.0011486
45,108.099,0.8313,0.65134,0.95422,0.87746,0.82347,0.86943,0.61289,0.97735,0.76199,0.97977,0.0011288,0.0011288,0.0011288
46,110.577,0.84735,0.64712,0.95305,0.88234,0.8249,0.86414,0.61906,0.94914,0.78471,0.99135,0.001109,0.001109,0.001109
47,113.189,0.83703,0.66315,0.9647,0.81143,0.845,0.84518,0.59881,0.98797,0.91904,0.99693,0.0010892,0.0010892,0.0010892
48,115.908,0.82481,0.64559,0.95901,0.87526,0.83,0.8932,0.66808,0.84466,0.74475,0.94823,0.0010694,0.0010694,0.0010694
49,118.501,0.83672,0.63727,0.95777,0.84212,0.86,0.89667,0.65272,0.90266,0.71983,0.95811,0.0010496,0.0010496,0.0010496
50,120.708,0.83574,0.63331,0.96551,0.81584,0.90817,0.89638,0.67341,0.88342,0.75456,0.97253,0.0010298,0.0010298,0.0010298
51,122.791,0.80087,0.61464,0.95929,0.8522,0.895,0.88879,0.65421,0.90501,0.73331,0.98713,0.00101,0.00101,0.00101
52,124.916,0.82731,0.63154,0.95449,0.89053,0.85414,0.89435,0.65622,0.88278,0.69087,0.96534,0.0009902,0.0009902,0.0009902
